id_fecha,fecha,año,mes,dia,dia_semana,nombre_dia,nombre_mes,trimestre,semana_año,es_fin_semana,es_feriado
20230101,2023-01-01,2023,1,1,7,Sunday,January,1,52,True,True
20230102,2023-01-02,2023,1,2,1,Monday,January,1,1,False,False
20230103,2023-01-03,2023,1,3,2,Tuesday,January,1,1,False,False
20230104,2023-01-04,2023,1,4,3,Wednesday,January,1,1,False,False
20230105,2023-01-05,2023,1,5,4,Thursday,January,1,1,False,False
20230106,2023-01-06,2023,1,6,5,Friday,January,1,1,False,False
20230107,2023-01-07,2023,1,7,6,Saturday,January,1,1,True,False
20230108,2023-01-08,2023,1,8,7,Sunday,January,1,1,True,False
20230109,2023-01-09,2023,1,9,1,Monday,January,1,2,False,False
20230110,2023-01-10,2023,1,10,2,Tuesday,January,1,2,False,False
20230111,2023-01-11,2023,1,11,3,Wednesday,January,1,2,False,False
20230112,2023-01-12,2023,1,12,4,Thursday,January,1,2,False,False
20230113,2023-01-13,2023,1,13,5,Friday,January,1,2,False,False
20230114,2023-01-14,2023,1,14,6,Saturday,January,1,2,True,False
20230115,2023-01-15,2023,1,15,7,Sunday,January,1,2,True,False
20230116,2023-01-16,2023,1,16,1,Monday,January,1,3,False,False
20230117,2023-01-17,2023,1,17,2,Tuesday,January,1,3,False,False
20230118,2023-01-18,2023,1,18,3,Wednesday,January,1,3,False,False
20230119,2023-01-19,2023,1,19,4,Thursday,January,1,3,False,False
20230120,2023-01-20,2023,1,20,5,Friday,January,1,3,False,False
20230121,2023-01-21,2023,1,21,6,Saturday,January,1,3,True,False
20230122,2023-01-22,2023,1,22,7,Sunday,January,1,3,True,False
20230123,2023-01-23,2023,1,23,1,Monday,January,1,4,False,False
20230124,2023-01-24,2023,1,24,2,Tuesday,January,1,4,False,False
20230125,2023-01-25,2023,1,25,3,Wednesday,January,1,4,False,False
20230126,2023-01-26,2023,1,26,4,Thursday,January,1,4,False,False
20230127,2023-01-27,2023,1,27,5,Friday,January,1,4,False,False
20230128,2023-01-28,2023,1,28,6,Saturday,January,1,4,True,False
20230129,2023-01-29,2023,1,29,7,Sunday,January,1,4,True,False
20230130,2023-01-30,2023,1,30,1,Monday,January,1,5,False,False
20230131,2023-01-31,2023,1,31,2,Tuesday,January,1,5,False,False
20230201,2023-02-01,2023,2,1,3,Wednesday,February,1,5,False,False
20230202,2023-02-02,2023,2,2,4,Thursday,February,1,5,False,False
20230203,2023-02-03,2023,2,3,5,Friday,February,1,5,False,False
20230204,2023-02-04,2023,2,4,6,Saturday,February,1,5,True,False
20230205,2023-02-05,2023,2,5,7,Sunday,February,1,5,True,False
20230206,2023-02-06,2023,2,6,1,Monday,February,1,6,False,False
20230207,2023-02-07,2023,2,7,2,Tuesday,February,1,6,False,False
20230208,2023-02-08,2023,2,8,3,Wednesday,February,1,6,False,False
20230209,2023-02-09,2023,2,9,4,Thursday,February,1,6,False,False
20230210,2023-02-10,2023,2,10,5,Friday,February,1,6,False,False
20230211,2023-02-11,2023,2,11,6,Saturday,February,1,6,True,False
20230212,2023-02-12,2023,2,12,7,Sunday,February,1,6,True,False
20230213,2023-02-13,2023,2,13,1,Monday,February,1,7,False,False
20230214,2023-02-14,2023,2,14,2,Tuesday,February,1,7,False,False
20230215,2023-02-15,2023,2,15,3,Wednesday,February,1,7,False,False
20230216,2023-02-16,2023,2,16,4,Thursday,February,1,7,False,False
20230217,2023-02-17,2023,2,17,5,Friday,February,1,7,False,False
20230218,2023-02-18,2023,2,18,6,Saturday,February,1,7,True,False
20230219,2023-02-19,2023,2,19,7,Sunday,February,1,7,True,False
20230220,2023-02-20,2023,2,20,1,Monday,February,1,8,False,False
20230221,2023-02-21,2023,2,21,2,Tuesday,February,1,8,False,False
20230222,2023-02-22,2023,2,22,3,Wednesday,February,1,8,False,False
20230223,2023-02-23,2023,2,23,4,Thursday,February,1,8,False,False
20230224,2023-02-24,2023,2,24,5,Friday,February,1,8,False,False
20230225,2023-02-25,2023,2,25,6,Saturday,February,1,8,True,False
20230226,2023-02-26,2023,2,26,7,Sunday,February,1,8,True,False
20230227,2023-02-27,2023,2,27,1,Monday,February,1,9,False,False
20230228,2023-02-28,2023,2,28,2,Tuesday,February,1,9,False,False
20230301,2023-03-01,2023,3,1,3,Wednesday,March,1,9,False,False
20230302,2023-03-02,2023,3,2,4,Thursday,March,1,9,False,False
20230303,2023-03-03,2023,3,3,5,Friday,March,1,9,False,False
20230304,2023-03-04,2023,3,4,6,Saturday,March,1,9,True,False
20230305,2023-03-05,2023,3,5,7,Sunday,March,1,9,True,False
20230306,2023-03-06,2023,3,6,1,Monday,March,1,10,False,False
20230307,2023-03-07,2023,3,7,2,Tuesday,March,1,10,False,False
20230308,2023-03-08,2023,3,8,3,Wednesday,March,1,10,False,False
20230309,2023-03-09,2023,3,9,4,Thursday,March,1,10,False,False
20230310,2023-03-10,2023,3,10,5,Friday,March,1,10,False,False
20230311,2023-03-11,2023,3,11,6,Saturday,March,1,10,True,False
20230312,2023-03-12,2023,3,12,7,Sunday,March,1,10,True,False
20230313,2023-03-13,2023,3,13,1,Monday,March,1,11,False,False
